epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59995,0.8276,2.53226,1.05003,0.00291,0.85827,0.38699,0.32531,0.78969,3.42716,1.05555,0.00062,0.00062,0.00062
2,12.3673,0.91599,1.93577,1.07711,0.5777,0.3622,0.40174,0.26122,1.10424,2.60904,1.62735,0.00124753,0.00124753,0.00124753
3,16.636,0.98165,1.72815,1.13509,0.66564,0.33858,0.37907,0.21589,1.23314,3.5225,1.50354,0.00186238,0.00186238,0.00186238
4,20.7931,1.02258,1.68875,1.17421,0.56003,0.43307,0.36447,0.22762,1.47361,2.22517,2.20889,0.0019406,0.0019406,0.0019406
5,24.9649,0.97305,1.51471,1.1422,0.6565,0.53543,0.53769,0.40471,0.95997,1.44975,1.24062,0.0019208,0.0019208,0.0019208
6,29.1322,0.93332,1.42065,1.12218,0.64238,0.52756,0.53698,0.41447,0.92641,1.70552,1.1763,0.001901,0.001901,0.001901
7,33.3352,0.92453,1.36029,1.10043,0.69469,0.38583,0.39051,0.30064,1.0684,2.32378,1.25107,0.0018812,0.0018812,0.0018812
8,37.5279,0.80787,1.16762,1.05518,0.73532,0.62992,0.63315,0.4986,0.82436,1.10588,1.12234,0.0018614,0.0018614,0.0018614
9,41.6955,0.85329,1.16352,1.08986,0.82003,0.35433,0.42996,0.35205,0.80698,3.50382,1.07958,0.0018416,0.0018416,0.0018416
10,45.8618,0.80614,1.0746,1.03375,0.70989,0.61659,0.63169,0.50948,0.78783,1.03221,1.06358,0.0018218,0.0018218,0.0018218
11,50.0946,0.8252,1.07901,1.07743,0.73024,0.59684,0.63912,0.50218,0.8056,0.99689,1.05711,0.001802,0.001802,0.001802
12,54.3142,0.82159,1.05304,1.05761,0.68217,0.6378,0.6021,0.48538,0.76579,1.10931,1.05505,0.0017822,0.0017822,0.0017822
13,58.5053,0.8118,1.02361,1.06579,0.73963,0.6063,0.61651,0.51633,0.74623,1.05692,1.07163,0.0017624,0.0017624,0.0017624
14,62.7024,0.74737,0.96068,1.02479,0.76012,0.6063,0.62241,0.48902,0.76786,1.04375,1.07305,0.0017426,0.0017426,0.0017426
15,66.8548,0.7567,0.99849,1.03512,0.73073,0.59055,0.59887,0.50687,0.70808,0.91885,1.04066,0.0017228,0.0017228,0.0017228
16,71.0207,0.71921,0.94242,1.03914,0.74653,0.62205,0.6058,0.50623,0.70869,1.00369,1.05286,0.001703,0.001703,0.001703
17,75.162,0.71551,0.92291,1.01806,0.76392,0.59843,0.6232,0.53271,0.68082,0.86734,1.01232,0.0016832,0.0016832,0.0016832
18,79.3432,0.72845,0.93416,1.0234,0.76365,0.61417,0.6374,0.54597,0.64732,0.84749,1.02,0.0016634,0.0016634,0.0016634
19,83.5454,0.66305,0.88485,1.00119,0.72218,0.61405,0.62257,0.51165,0.68614,0.90375,1.00526,0.0016436,0.0016436,0.0016436
20,87.6842,0.73541,0.95613,1.03846,0.75964,0.59726,0.61751,0.51389,0.62608,0.87546,0.9813,0.0016238,0.0016238,0.0016238
21,91.8314,0.69705,0.9054,1.00709,0.76424,0.59843,0.63004,0.52469,0.65127,0.89637,1.01302,0.001604,0.001604,0.001604
22,95.9347,0.69818,0.907,1.02122,0.74332,0.61417,0.63414,0.53908,0.625,0.85963,1.00451,0.0015842,0.0015842,0.0015842
23,100.044,0.67412,0.90593,1.00983,0.69752,0.61737,0.639,0.53379,0.63206,0.90303,0.98597,0.0015644,0.0015644,0.0015644
24,104.201,0.7047,0.88545,1.01883,0.67645,0.61417,0.59143,0.51756,0.59523,0.91333,0.97092,0.0015446,0.0015446,0.0015446
25,108.364,0.63408,0.85261,0.98338,0.72856,0.6063,0.61803,0.5282,0.64588,0.88491,1.02097,0.0015248,0.0015248,0.0015248
26,112.484,0.68464,0.8923,1.00197,0.76897,0.61417,0.6327,0.55061,0.61419,0.82937,1.00672,0.001505,0.001505,0.001505
